ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
5459,variation,,St. John's N11 Football Shorts - 22/24,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/StJohns/St%20johns%20Football%20Shorts-500x500.jpg,,,SJ010,,,,,,1,Waist Size,22/24,,1,1
5460,variation,,St. John's N11 Football Shorts - 26/28,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/StJohns/St%20johns%20Football%20Shorts-500x500.jpg,,,SJ010,,,,,,2,Waist Size,26/28,,1,1
5461,variation,,St. John's N11 Football Shorts - 30/32,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,13.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/StJohns/St%20johns%20Football%20Shorts-500x500.jpg,,,SJ010,,,,,,3,Waist Size,30/32,,1,1
5462,variable,SJ010,St. John's N11 Football Shorts,1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,13.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Primary Schools,St John's C.E School (N11)",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/StJohns/St%20johns%20Football%20Shorts-500x500.jpg,,,,,,,,,0,Waist Size,"22/24,26/28,30/32",1,1,1
