,ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
0,15,variation,,Click Clack - Red,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,2.5,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/click%20c-500x500.jpg,,,HAIR1,,,,,,1,Colour,Red,,1,1
1,16,variation,,Click Clack - Green,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,2.5,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/click%20c-500x500.jpg,,,HAIR1,,,,,,2,Colour,Green,,1,1
2,17,variation,,Click Clack - Black,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,2.5,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/click%20c-500x500.jpg,,,HAIR1,,,,,,3,Colour,Black,,1,1
3,18,variation,,Click Clack - Navy,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,2.5,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/click%20c-500x500.jpg,,,HAIR1,,,,,,4,Colour,Navy,,1,1
4,19,variable,HAIR1,Click Clack,1,0,visible,"Avaliable in Red, Green, Black, Navy. ","Avaliable in Red, Green, Black, Navy. ",,,taxable,,1,50,0,0,0.5,24.0,1.0,2.0,1,,,2.5,"Schoolwear,Schoolwear > Accessories",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/click%20c-500x500.jpg,,,,,,,,,0,Colour,"Red,Green,Black,Navy",1.0,1,1
5,29,variation,,Hair Bands - Red,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,4.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/hair%20bands-500x500.jpg,,,HAIR3,,,,,,1,Colour,Red,,1,1
6,30,variation,,Hair Bands - Green,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,4.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/hair%20bands-500x500.jpg,,,HAIR3,,,,,,2,Colour,Green,,1,1
7,31,variation,,Hair Bands - Navy,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,4.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/hair%20bands-500x500.jpg,,,HAIR3,,,,,,3,Colour,Navy,,1,1
8,32,variable,HAIR3,Hair Bands,1,0,visible,"Avaliable in Red, Green, Navy. ","Avaliable in Red, Green, Navy. ",,,taxable,,1,50,0,0,0.5,24.0,1.0,2.0,1,,,4.95,"Schoolwear,Schoolwear > Accessories",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/hair%20bands-500x500.jpg,,,,,,,,,0,Colour,"Red,Green,Navy",1.0,1,1
9,3,variation,,Plain Black P.E Bag - OneSizeFitsAll,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,5.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/plain%20blk%20pe%20bag-500x500.jpg,,,PEB4,,,,,,1,Size,OneSizeFitsAll,,1,1
10,4,variable,PEB4,Plain Black P.E Bag,1,0,visible,,,,,taxable,,1,50,0,0,0.5,24.0,1.0,2.0,1,,,5.95,"Schoolwear,Schoolwear > Accessories",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/plain%20blk%20pe%20bag-500x500.jpg,,,,,,,,,0,Size,OneSizeFitsAll,1.0,1,1
11,7,variation,,Plain Green P.E Bag - OneSizeFitsAll,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,6.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Sacred%20Heart/Sacred%20Heart%20PE%20Bag-500x500.jpg,,,PEB1,,,,,,1,Size,OneSizeFitsAll,,1,1
12,8,variable,PEB1,Plain Green P.E Bag,1,0,visible,Ideal For Following Schools:. Sacred Heart - PE Bag. St Andrew's - PE Bag for Reception only. ,Ideal For Following Schools:. Sacred Heart - PE Bag. St Andrew's - PE Bag for Reception only. ,,,taxable,,1,50,0,0,0.5,24.0,1.0,2.0,1,,,6.95,"Schoolwear,Schoolwear > Accessories",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Sacred%20Heart/Sacred%20Heart%20PE%20Bag-500x500.jpg,,,,,,,,,0,Size,OneSizeFitsAll,1.0,1,1
13,11,variation,,Plain Navy P.E Bag - OneSizeFitsAll,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,5.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Plain%20Navy%20PE%20Bag-500x500.jpg,,,PEB2,,,,,,1,Size,OneSizeFitsAll,,1,1
14,12,variable,PEB2,Plain Navy P.E Bag,1,0,visible,,,,,taxable,,1,50,0,0,0.5,24.0,1.0,2.0,1,,,5.95,"Schoolwear,Schoolwear > Accessories",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/Plain%20Navy%20PE%20Bag-500x500.jpg,,,,,,,,,0,Size,OneSizeFitsAll,1.0,1,1
15,22,variation,,Ponios - Red,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,3.5,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/scrunchie-500x500.jpg,,,HAIR2,,,,,,1,Colour,Red,,1,1
16,23,variation,,Ponios - Green,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,3.5,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/scrunchie-500x500.jpg,,,HAIR2,,,,,,2,Colour,Green,,1,1
17,24,variation,,Ponios - Black,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,3.5,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/scrunchie-500x500.jpg,,,HAIR2,,,,,,3,Colour,Black,,1,1
18,25,variation,,Ponios - Navy,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,3.5,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/scrunchie-500x500.jpg,,,HAIR2,,,,,,4,Colour,Navy,,1,1
19,26,variable,HAIR2,Ponios,1,0,visible,"Avaliable in Red, Green, Navy, Black. ","Avaliable in Red, Green, Navy, Black. ",,,taxable,,1,50,0,0,0.5,24.0,1.0,2.0,1,,,3.5,"Schoolwear,Schoolwear > Accessories",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/accesories/scrunchie-500x500.jpg,,,,,,,,,0,Colour,"Red,Green,Black,Navy",1.0,1,1
