,ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
0,706,variation,,Christs College  - Tartan Skirt - 20,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/11-500x500.jpg,,,CC004,,,,,,1,Waist Size,20,,1,1
1,707,variation,,Christs College  - Tartan Skirt - 22,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/11-500x500.jpg,,,CC004,,,,,,2,Waist Size,22,,1,1
2,708,variation,,Christs College  - Tartan Skirt - 24(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/11-500x500.jpg,,,CC004,,,,,,3,Waist Size,24(+£1.00),,1,1
3,709,variation,,Christs College  - Tartan Skirt - 26(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/11-500x500.jpg,,,CC004,,,,,,4,Waist Size,26(+£1.00),,1,1
4,710,variation,,Christs College  - Tartan Skirt - 28(+£1.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,15.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/11-500x500.jpg,,,CC004,,,,,,5,Waist Size,28(+£1.00),,1,1
5,705,variable,CC004,Christs College  - Tartan Skirt,1,0,visible,,,,,taxable,,1,50,0,0,0.5,24.0,1.0,2.0,1,,,15.95,"Schoolwear,Schoolwear > Basic Schoolwear",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/11-500x500.jpg,,,,,,,,,0,Waist Size,"20,22,24(+£1.00),26(+£1.00),28(+£1.00)",1.0,1,1
6,409,variation,,Friern Barnet Navy  Kilt (Knee Length) - 24/18in,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/12-500x500.jpg,,,K2,,,,,,1,Kilt Size,24/18in,,1,1
7,410,variation,,Friern Barnet Navy  Kilt (Knee Length) - 26/18in,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/12-500x500.jpg,,,K2,,,,,,2,Kilt Size,26/18in,,1,1
8,411,variation,,Friern Barnet Navy  Kilt (Knee Length) - 28/20in(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/12-500x500.jpg,,,K2,,,,,,3,Kilt Size,28/20in(+£3.00),,1,1
9,412,variation,,Friern Barnet Navy  Kilt (Knee Length) - 30/20in(+£3.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,29.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/12-500x500.jpg,,,K2,,,,,,4,Kilt Size,30/20in(+£3.00),,1,1
